filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,height,name,width,x,y,trainpath,labelpath,mask_percentage,labels,ymax,xmax
1.2.276.0.7230010.3.1.4.8323329.300.1517875162.258081.png,420519,{},1,0,"{""name"":""rect"",""x"":214,""y"":171,""width"":740,""height"":601}",{},601,rect,740,214,171,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.300.1517875162.258081.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.300.1517875162.258081.png,0.002735137939453125,1.0,772,954
1.2.276.0.7230010.3.1.4.8323329.301.1517875162.280319.png,425620,{},1,0,"{""name"":""rect"",""x"":161,""y"":54,""width"":745,""height"":860}",{},860,rect,745,161,54,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.301.1517875162.280319.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.301.1517875162.280319.png,0.009663581848144531,1.0,914,906
1.2.276.0.7230010.3.1.4.8323329.302.1517875162.286330.png,398688,{},1,0,"{""name"":""rect"",""x"":40,""y"":39,""width"":893,""height"":940}",{},940,rect,893,40,39,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.302.1517875162.286330.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.302.1517875162.286330.png,0.0,0.0,979,933
1.2.276.0.7230010.3.1.4.8323329.303.1517875162.295039.png,395720,{},1,0,"{""name"":""rect"",""x"":100,""y"":69,""width"":861,""height"":857}",{},857,rect,861,100,69,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.303.1517875162.295039.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.303.1517875162.295039.png,0.0011444091796875,1.0,926,961
1.2.276.0.7230010.3.1.4.8323329.304.1517875162.301989.png,421197,{},1,0,"{""name"":""rect"",""x"":100,""y"":100,""width"":837,""height"":788}",{},788,rect,837,100,100,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.304.1517875162.301989.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.304.1517875162.301989.png,0.0,0.0,888,937
1.2.276.0.7230010.3.1.4.8323329.305.1517875162.307235.png,428197,{},1,0,"{""name"":""rect"",""x"":146,""y"":154,""width"":773,""height"":731}",{},731,rect,773,146,154,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.305.1517875162.307235.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.305.1517875162.307235.png,0.0019664764404296875,1.0,885,919
1.2.276.0.7230010.3.1.4.8323329.306.1517875162.312801.png,379947,{},1,0,"{""name"":""rect"",""x"":87,""y"":227,""width"":734,""height"":631}",{},631,rect,734,87,227,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.306.1517875162.312801.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.306.1517875162.312801.png,0.0012989044189453125,1.0,858,821
1.2.276.0.7230010.3.1.4.8323329.307.1517875162.311533.png,403712,{},1,0,"{""name"":""rect"",""x"":137,""y"":39,""width"":719,""height"":642}",{},642,rect,719,137,39,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.307.1517875162.311533.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.307.1517875162.311533.png,0.06595464050769806,1.0,681,856
1.2.276.0.7230010.3.1.4.8323329.308.1517875162.318641.png,410651,{},1,0,"{""name"":""rect"",""x"":204,""y"":117,""width"":726,""height"":539}",{},539,rect,726,204,117,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.308.1517875162.318641.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.308.1517875162.318641.png,0.0,0.0,656,930
1.2.276.0.7230010.3.1.4.8323329.309.1517875162.328197.png,416406,{},1,0,"{""name"":""rect"",""x"":108,""y"":83,""width"":777,""height"":897}",{},897,rect,777,108,83,/home/dianwen/SIIM_ACR/train/images/1024/dicom/1.2.276.0.7230010.3.1.4.8323329.309.1517875162.328197.png,/home/dianwen/SIIM_ACR/train/images/1024/mask/1.2.276.0.7230010.3.1.4.8323329.309.1517875162.328197.png,0.0,0.0,980,885
