filename,xmin,xmax,ymin,ymax
ID_0011fe81e.png,27,1010,81,764
ID_003206608.png,81,983,136,928
ID_004d6fbb6.png,81,901,54,873
ID_004d72c54.png,27,873,136,1024
ID_00528aa0e.png,163,846,54,819
ID_00593ac6d.png,163,928,136,901
ID_00b0e5a9f.png,0,1024,0,1024
ID_00b115bfe.png,54,846,136,682
ID_00d054471.png,163,873,136,901
ID_00f04769e.png,109,901,81,791
ID_00f715288.png,109,983,81,901
ID_010566ba9.png,81,928,0,791
ID_0159b1d59.png,81,846,81,846
ID_017bd788a.png,109,1024,54,1010
ID_018f96b48.png,0,1024,0,1024
ID_0194bdd5a.png,0,1024,0,1024
ID_01a3312da.png,163,873,109,846
ID_01bbf9032.png,136,955,81,901
ID_01c754b4a.png,54,928,81,764
ID_01fe90211.png,81,873,109,846
ID_02069e41b.png,163,928,27,846
ID_0207b2ce9.png,27,901,54,955
ID_020ac40e5.png,0,1024,0,1024
ID_02119e236.png,0,1024,0,1024
ID_0221b902b.png,27,873,0,737
ID_0247eb561.png,136,901,54,901
ID_025297e5a.png,0,1024,0,1024
ID_025f1e40c.png,191,983,0,737
ID_02607293d.png,27,846,245,901
ID_026233a3e.png,109,1010,0,1024
ID_02700a9f9.png,0,1024,0,1024
ID_02d01449d.png,81,873,109,955
ID_02d933970.png,0,1024,0,1024
ID_02d9438fe.png,81,901,54,1024
ID_02de558c5.png,81,873,81,873
ID_0316f7423.png,163,873,54,819
ID_031afe49c.png,54,873,0,1024
ID_0331cdaf2.png,0,1024,0,1024
ID_034a9430a.png,0,1024,0,1024
ID_0359f0e2c.png,27,928,0,1024
ID_03823fe41.png,136,873,136,955
ID_0384db7e7.png,81,873,163,901
ID_0396387a5.png,0,791,81,901
ID_039777051.png,136,928,109,873
ID_03b19635d.png,54,819,191,846
ID_03b8066d3.png,109,846,81,764
ID_03ee5c4f3.png,109,873,81,791
ID_03f956d9d.png,163,983,81,901
ID_041f7d55e.png,81,737,0,709
ID_042101d37.png,27,846,27,791
ID_044db169e.png,0,1024,0,1024
ID_047c1749d.png,109,955,109,983
ID_048676b11.png,54,983,136,901
ID_048fa82d3.png,27,873,27,873
ID_04a007bfe.png,136,983,109,873
ID_04b9f5796.png,109,901,81,873
ID_04d839ffd.png,136,873,27,901
ID_04f8f080a.png,81,928,54,709
ID_050e96f90.png,54,928,109,846
ID_052daf675.png,136,928,109,928
ID_0546fc153.png,54,901,0,764
ID_0547218d4.png,27,873,109,764
ID_0547b1b48.png,0,1024,0,1024
ID_054c6835a.png,0,1024,0,1024
ID_055cf45a9.png,81,901,136,873
ID_05840d9b2.png,0,1024,0,1024
ID_059491a97.png,109,846,109,928
ID_05af0c7a9.png,0,1024,0,1024
ID_05c11b43a.png,109,846,191,928
ID_05d377d4a.png,136,955,109,873
ID_05e2411e5.png,0,1024,0,1024
ID_062b2fc91.png,245,873,54,928
ID_062eebad2.png,109,791,109,928
ID_062f144f1.png,109,928,136,819
ID_06464bf67.png,54,901,54,983
ID_0650141b9.png,0,983,54,873
ID_0664a72bb.png,27,928,136,737
ID_0665c73ab.png,81,819,54,819
ID_066810bfa.png,0,1024,0,1024
ID_068c475e6.png,0,1024,0,1024
ID_069fc24ea.png,163,901,109,819
ID_06c102168.png,27,983,81,1010
ID_06c3edf87.png,163,873,81,791
ID_06e0a586b.png,0,1024,0,1024
ID_06e2a3fec.png,136,983,136,819
ID_072ddc16f.png,81,873,54,983
ID_07574aa58.png,0,1024,0,1024
ID_075f1e561.png,136,983,109,955
ID_077d314a7.png,0,1024,0,1024
ID_07ad91cce.png,27,928,136,791
ID_07cb07486.png,109,791,191,846
ID_07cf867d4.png,163,819,163,983
ID_07ee731bc.png,163,983,163,1024
ID_07f3fd364.png,81,955,81,1010
ID_080056891.png,0,1024,0,1024
ID_081337ca5.png,218,819,109,791
ID_085eaa2ef.png,81,901,81,901
ID_086643216.png,0,1024,0,1024
ID_087f48d7f.png,54,955,81,955
ID_08810a8ef.png,81,983,109,846
ID_088de6296.png,0,1024,0,1024
ID_088dfdb6a.png,191,846,136,901
ID_08a11a438.png,163,901,109,791
ID_08af94ebc.png,0,1024,0,1024
ID_08ba75aea.png,163,791,300,791
ID_08bcde0af.png,109,901,54,1010
ID_08c522a6a.png,109,928,81,709
ID_08d4ab891.png,109,901,109,846
ID_08e1daba1.png,109,901,27,983
ID_08e5984ca.png,0,1024,0,1024
ID_08fdfe57b.png,109,928,136,983
ID_091dd72da.png,218,873,191,819
ID_092458962.png,81,873,136,901
ID_0930d8b45.png,54,955,109,1010
ID_09406ffbc.png,81,901,54,873
ID_097016d2a.png,109,819,163,928
ID_099573ca7.png,81,819,54,901
ID_09a84be45.png,0,1024,0,1024
ID_09adde12d.png,27,901,0,819
ID_09bd4a6ee.png,0,928,0,737
ID_09ca5ca1b.png,81,901,109,873
ID_09cb00eb4.png,0,1024,0,1024
ID_09cec6977.png,54,928,54,1024
ID_09f2ae0db.png,163,846,163,928
ID_0a0adf93f.png,54,928,81,983
ID_0a323a5be.png,191,819,81,791
ID_0a4674064.png,0,1024,0,1024
ID_0a4f3c934.png,54,928,109,791
ID_0a50c0cc7.png,0,928,81,1024
ID_0a920cc01.png,136,928,54,737
ID_0a9b7968a.png,191,846,27,901
ID_0ab3c2234.png,109,928,136,791
ID_0ac3e69bc.png,81,928,81,1024
ID_0acfa68b1.png,54,955,136,873
ID_0aeb72cba.png,136,1010,54,764
ID_0b0a1315d.png,136,873,81,819
ID_0b27bd5c2.png,109,928,81,901
ID_0b2da875a.png,81,901,81,791
ID_0b7d6530c.png,163,901,191,791
ID_0ba83217f.png,27,764,27,955
ID_0bb960c48.png,109,928,109,873
ID_0bbbdda07.png,0,1024,0,1024
ID_0bc787781.png,109,791,109,873
ID_0beb4899d.png,191,901,136,955
ID_0bf00babd.png,0,1024,0,1024
ID_0bfd328b9.png,136,983,0,901
ID_0c026cd43.png,27,901,136,955
ID_0c1737948.png,54,1024,109,928
ID_0c4816508.png,109,873,136,846
ID_0c6cb4607.png,273,983,109,1024
ID_0c7f391f7.png,136,873,81,873
ID_0c8fca435.png,109,928,27,928
ID_0c902c890.png,163,983,136,791
ID_0cbc86b48.png,136,873,54,928
ID_0cd589ea0.png,136,955,0,1024
ID_0d2016b4a.png,218,928,81,873
ID_0d56b5fd2.png,109,928,136,846
ID_0d5bf2c18.png,163,791,54,955
ID_0d735ae70.png,0,873,0,928
