filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.2.276.0.7230010.3.1.4.8323329.300.1517875162.258081.jpg,420519,"{}",1,0,"{""name"":""rect"",""x"":214,""y"":171,""width"":740,""height"":601}","{}"
1.2.276.0.7230010.3.1.4.8323329.301.1517875162.280319.jpg,425620,"{}",1,0,"{""name"":""rect"",""x"":161,""y"":54,""width"":745,""height"":860}","{}"
1.2.276.0.7230010.3.1.4.8323329.302.1517875162.286330.jpg,398688,"{}",1,0,"{""name"":""rect"",""x"":40,""y"":39,""width"":893,""height"":940}","{}"
1.2.276.0.7230010.3.1.4.8323329.303.1517875162.295039.jpg,395720,"{}",1,0,"{""name"":""rect"",""x"":100,""y"":69,""width"":861,""height"":857}","{}"
1.2.276.0.7230010.3.1.4.8323329.304.1517875162.301989.jpg,421197,"{}",1,0,"{""name"":""rect"",""x"":100,""y"":100,""width"":837,""height"":788}","{}"
1.2.276.0.7230010.3.1.4.8323329.305.1517875162.307235.jpg,428197,"{}",1,0,"{""name"":""rect"",""x"":146,""y"":154,""width"":773,""height"":731}","{}"
1.2.276.0.7230010.3.1.4.8323329.306.1517875162.312801.jpg,379947,"{}",1,0,"{""name"":""rect"",""x"":87,""y"":227,""width"":734,""height"":631}","{}"
1.2.276.0.7230010.3.1.4.8323329.307.1517875162.311533.jpg,403712,"{}",1,0,"{""name"":""rect"",""x"":137,""y"":39,""width"":719,""height"":642}","{}"
1.2.276.0.7230010.3.1.4.8323329.308.1517875162.318641.jpg,410651,"{}",1,0,"{""name"":""rect"",""x"":204,""y"":117,""width"":726,""height"":539}","{}"
1.2.276.0.7230010.3.1.4.8323329.309.1517875162.328197.jpg,416406,"{}",1,0,"{""name"":""rect"",""x"":108,""y"":83,""width"":777,""height"":897}","{}"
1.2.276.0.7230010.3.1.4.8323329.310.1517875162.344702.jpg,436293,"{}",1,0,"{""name"":""rect"",""x"":102,""y"":91,""width"":842,""height"":589}","{}"
